uservip_degree,timepoint,content,opername,upcount
1,90,我运晨无敌！！！,,3
1,90,背水辉,,0
4,90,周深爱你,,0
1,90,双商高的人 就是吸引眼球,,0
1,90, 深，来学系辣,姜小慧,11
0,91, 何运晨 谁还记着,,12
6,91,我来嘚瑟我是VIP,我是猴子请来的救兵,4
0,91,周星星✨✨✨,哇塞,0
5,91,刚从隔壁撒老师的你好生活过来,,2
0,91,周深好可爱,为你明灯三千,2
3,92,纳尼,BABY,0
0,92,何运晨 李浩源 邓冰莹 梅桢 郭旭 蔡昆廷 薛俊杰 李晨,V,0
1,92,啦啦啦啦,方方方,0
0,92,还是喜欢第一季的人,C罗,0
1,93,唉 还是抵不过何运晨,,4
0,93,求出一个建筑师的offer！热爱也想更强,STOP✔,0
0,93,呜呜呜为了深深冲了个VIP,犹如故人归,0
6,93,何运晨 李浩源 邓冰莹 梅桢 郭旭 蔡昆廷 薛俊杰 李晨,,36
0,93,支持晋晔,,4
1,93,简单的自我介绍,,0
0,93,我的李浩源,别？欺负我！,0
5,93,背水哥,,2
0,93,何运晨 李浩源 邓冰莹 梅桢 郭旭 蔡昆廷 薛俊杰 李晨,多长头发少吃肉,0
6,93,我就喜欢双北,,12
0,94,来看凡尔赛文学,咸的,22
3,94,徐律啊啊啊啊啊啊,C1848,3
3,94,时长爱了,,4
4,94,王骁王骁李晋晔李晋晔,,1
0,94,何运晨 李浩源 邓冰莹 梅桢 郭旭 蔡昆廷 薛俊杰 李晨,l’ cherish ,0
4,95,王骁王骁李晋晔李晋晔,,0
1,95,来看灵菱甜豆,铭子酱,0
5,95,为徐律打call,Roxberry🍓,18
0,95,范丞丞我来了啊啊,,1
3,95,背水哥,,1
4,95,第一季非常不错，大家等更新的时候可以去看看，真心强推！！！！,,6
1,95,范丞丞范丞丞范丞丞范丞丞范丞丞范丞丞范丞丞,,0
0,96,来和新人范丞丞一起学习啦,🍐,8
0,96,徐律徐律！！,175,11
3,96,气死了，刚才看了然后就了解一下什么我们,三天之内鲨了你,2
0,96,这么诚实的辉哥，就问谁敢像他这么真实！,杨姑娘、,0
5,96,我运晨无敌！！！,,3
0,96,fanchengcheng,,2
4,96,。,,0
4,97, 何运晨 谁还记着,,3
1,97,有没有觉得中间男律师像周一围，女的是重塑乐队的女主唱,疯狂的麦克斯,1
2,97,我就喜欢双北,,2
3,97,好运来永远滴神,,11
1,97,两个多小时…,,6
1,97,怀念好运来组合,Vickie.,2
1,98,  徐律啊啊啊啊啊啊,。。。,1
0,98,徐律！,,18
4,98,唉 还是抵不过何运晨,,0
0,98,王骁王骁李晋晔李晋晔,,0
1,98,我的李浩源,,4
0,98,出个难度的题目。,,0
2,98,00,山绮,2
2,98,好家伙，梁律像我语文老师aa，但我不喜欢我语文老师，我喜欢梁律,,0
0,98,何运晨 李浩源 邓冰莹 梅桢 郭旭 蔡昆廷 薛俊杰 李晨,〖L〗〖J〗〖F〗,1
4,99,周深好可爱,,1
4,99,啊，徐律来了，冲冲冲！！！,,19
5,99,何运晨 李浩源 邓冰莹 梅桢 郭旭 蔡昆廷 薛俊杰 李晨,,38
5,99,双北在一起主持节目好幽默，超喜欢,,5
5,100,这是在说的啥,,5
1,100,周星星✨✨✨,懶猫,0
3,100, 何运晨 谁还记着,,12
5,100,灵灵也在！！,,7
0,100,offer一的各位，都是不会忘记的。,时光荏苒,0
0,100,怀念第一季,,1
3,100,徐姐姐呀！！！！,,12
3,100,何运晨 李浩源 邓冰莹 梅桢 郭旭 蔡昆廷 薛俊杰 李晨,,6
6,100,时长爱了！！！,,0
3,100,深，来劝学啊,💞 Poppy 💞,2
7,100,来了,,0
0,100,周深好可爱,可妮兔,0
1,101,徐律越看越好看,🌖 🌗 🌘 🌑 🌚,1
0,101,何运晨 李浩源 邓冰莹 梅桢 郭旭 蔡昆廷 薛俊杰 李晨,\(^o^)/~馨,1
0,101,我的李浩源,,8
5,101, 第一季非常不错，大家等更新的时候可以去看看，真心强推！！！！,,6
4,101,哈哈哈深深行走的表情包,,0
0,101,何运晨 李浩源 邓冰莹 梅桢 郭旭 蔡昆廷 薛俊杰 李晨,🐝🐝🐝,0
0,101,深深呀,,0
1,102,徐律爱了爱了,阳太的心空,22
1,102,二刷，加油！,,0
1,102,，凡尔赛文学,,4
1,102,徐律徐律！！,桑树婆娑,0
